AccountID;AccountCategory
skytg24;NEWS_SITE
radio105;NEWS_SITE
gazzettino;NEWS_SITE
byoblu;NEWS_SITE
limesonline;NEWS_SITE
castelvetrano;NEWS_SITE
pdnetwork;POLITICS
calnews;NEWS_SITE
legasalvini;POLITICS
rainews;NEWS_SITE
liberta_it;NEWS_SITE
corsport;NEWS_SITE
internazionale;NEWS_SITE
varesenews;NEWS_SITE
msn_italia;NEWS_SITE
cdsnews;NEWS_SITE
meridionews;NEWS_SITE
dgmag;NEWS_SITE
ilsussidiario;NEWS_SITE
tempostretto;NEWS_SITE
matteorenzi;POLITICS
repubblica;NEWS_SITE
beppe_grillo;NEWS_SITE
oggiscienza;NEWS_SITE
viceitaly;NEWS_SITE
livesicilia;NEWS_SITE
radiodeejay;NEWS_SITE
direzioneprc;POLITICS
focus_it;NEWS_SITE
msf_italia;NEWS_SITE
ilgiornale;NEWS_SITE
adnkronos;NEWS_SITE
oggitreviso;NEWS_SITE
si_sinistra;POLITICS
lametino;NEWS_SITE
lastampa;NEWS_SITE
demagistris;POLITICS
milanofinanza;NEWS_SITE
piacenzasera;NEWS_SITE
romatoday;NEWS_SITE
tuttosport;NEWS_SITE
virgilio_it;NEWS_SITE
scinet_it;NEWS_SITE
affaritaliani;NEWS_SITE
rds_official;NEWS_SITE
vitanonprofit;NEWS_SITE
greenme_it;NEWS_SITE
ilmessaggeroit;NEWS_SITE
gqitalia;NEWS_SITE
positanonews;NEWS_SITE
blogsicilia;NEWS_SITE
yahoo_italia;NEWS_SITE
virginradioit;NEWS_SITE
fondaz_veronesi;NEWS_SITE
qdsit;NEWS_SITE
estensecom;NEWS_SITE
luigidimaio;POLITICS
panorama_it;NEWS_SITE
ilsecoloxix;NEWS_SITE
ilfoglio_it;NEWS_SITE
sicilianews24;NEWS_SITE
fattoquotidiano;NEWS_SITE
gravitazeroeu;NEWS_SITE
giornalettismo;NEWS_SITE
larenait;NEWS_SITE
ilmeteoit;NEWS_SITE
coriglianocal;NEWS_SITE
ivgit;NEWS_SITE
rtl1025;NEWS_SITE
gazzettadelsud;NEWS_SITE
cicap;NEWS_SITE
napolitoday;NEWS_SITE
parmadaily;NEWS_SITE
sbonaccini;POLITICS
coelum_news;NEWS_SITE
corriereveneto;NEWS_SITE
oltre_tv;NEWS_SITE
canicattiweb;NEWS_SITE
_dagospia_;NEWS_SITE
tuttoggi;NEWS_SITE
agenzia_italia;NEWS_SITE
radioradicale;NEWS_SITE
iltirreno;NEWS_SITE
termometropol;NEWS_SITE
leggoit;NEWS_SITE
rollingstoneita;NEWS_SITE
madonielive;NEWS_SITE
trentin0;NEWS_SITE
tempoweb;NEWS_SITE
ravenna24ore;NEWS_SITE
oklasalute;NEWS_SITE
mattinodinapoli;NEWS_SITE
siracusanews;NEWS_SITE
moneypuntoit;NEWS_SITE
leganerd;NEWS_SITE
gazzetta_it;NEWS_SITE
reuters_italia;NEWS_SITE
espressonline;NEWS_SITE
ottopagine;NEWS_SITE
ntr24;NEWS_SITE
infn_;NEWS_SITE
il_centro;NEWS_SITE
sassuolo2000;NEWS_SITE
gazzettaparma;NEWS_SITE
laprovinciadico;NEWS_SITE
gayit;NEWS_SITE
mattinodipadova;NEWS_SITE
il_piccolo;NEWS_SITE
nuova_venezia;NEWS_SITE
tribuna_treviso;NEWS_SITE
unionesarda;NEWS_SITE
anconanotizie;NEWS_SITE
corrierefirenze;NEWS_SITE
messveneto;NEWS_SITE
gazzettamantova;NEWS_SITE
vivereancona;NEWS_SITE
aostaoggi;NEWS_SITE
corrierelamezia;NEWS_SITE
webecodibergamo;NEWS_SITE
agrigentooggi;NEWS_SITE
riviera24;NEWS_SITE
aostasera;NEWS_SITE
lavocedelne;NEWS_SITE
lavoceinfo;NEWS_SITE
ilpiacenza;NEWS_SITE
simpli_cissimus;NEWS_SITE
ticinonews;NEWS_SITE
provinciapavese;NEWS_SITE
zainetmagazine;NEWS_SITE
ilgrandecoco;NEWS_SITE
qn_lanazione;NEWS_SITE
milano_today;NEWS_SITE
emmabonino;POLITICS
casertanews;NEWS_SITE
mattinonline;NEWS_SITE
lagazzettaweb;NEWS_SITE
newzit;NEWS_SITE
alto_adige;NEWS_SITE
nuovasocieta;NEWS_SITE
informasalus;NEWS_SITE
conquistepromo;NEWS_SITE
francescoassisi;NEWS_SITE
il_pescara;NEWS_SITE
wireditalia;NEWS_SITE
grottaglie;NEWS_SITE
la7tv;NEWS_SITE
lanuovasardegna;NEWS_SITE
libero_official;NEWS_SITE
corrierealpi;NEWS_SITE
ravennawebtv;NEWS_SITE
radio24_news;NEWS_SITE
pianetablunews;NEWS_SITE
corrierecitta;NEWS_SITE
giorgiameloni;POLITICS
formichenews;NEWS_SITE
galileoedit;NEWS_SITE
avvenire_nei;NEWS_SITE
ilpost;NEWS_SITE
cataniaoggi;NEWS_SITE
gdb_it;NEWS_SITE
ilriformista;NEWS_SITE
ennavivi_it;NEWS_SITE
lifegate;NEWS_SITE
webmartetv;NEWS_SITE
cronachemc;NEWS_SITE
valigiablu;NEWS_SITE
forza_italia;POLITICS
cor_com;NEWS_SITE
agenzia_ansa;NEWS_SITE
corrierebologna;NEWS_SITE
lostrillone;NEWS_SITE
teletermini;NEWS_SITE
piacenza24;NEWS_SITE
l_infiltrato;NEWS_SITE
corrmezzogiorno;NEWS_SITE
augustaonline;NEWS_SITE
luna__nuova;NEWS_SITE
24emilia;NEWS_SITE
diariodelweb;NEWS_SITE
leccenews24;NEWS_SITE
nuovaferrara;NEWS_SITE
gazzettamodena;NEWS_SITE
gazzettareggioe;NEWS_SITE
medicitalia;NEWS_SITE
lascansione;NEWS_SITE
tpi;NEWS_SITE
fam_cristiana;NEWS_SITE
newnotizie;NEWS_SITE
tempi_it;NEWS_SITE
le_scienze;NEWS_SITE
abruzzolivetv;NEWS_SITE
neovitruvian;NEWS_SITE
umbria24;NEWS_SITE
ferrara24ore;NEWS_SITE
settesere;NEWS_SITE
tg1rai;NEWS_SITE
sostenitori1;NEWS_SITE
vanityfairit;NEWS_SITE
libero_it;NEWS_SITE
parmatoday;NEWS_SITE
alqamahpost;NEWS_SITE
ilpaesenuovo;NEWS_SITE
firenzetoday;NEWS_SITE
fanpage;NEWS_SITE
linkiesta;NEWS_SITE
qn_carlino;NEWS_SITE
qn_giorno;NEWS_SITE
veronasera;NEWS_SITE
la_sentinella;NEWS_SITE
cafegeopolitico;NEWS_SITE
buonenotizie_it;NEWS_SITE
giornaleladige;NEWS_SITE
reggionline;NEWS_SITE
segnidalcielo;NEWS_SITE
ragusanews;NEWS_SITE
key4biz;NEWS_SITE
sadefenza;NEWS_SITE
ilfattonisseno;NEWS_SITE
sassarinotizie;NEWS_SITE
lindiscreto;NEWS_SITE
askanews_ita;NEWS_SITE
lavoceredazione;NEWS_SITE
crotone24news;NEWS_SITE
gazzetta_jonica;NEWS_SITE
qtsicilia;NEWS_SITE
lasiciliaweb;NEWS_SITE
lo_spiffero;NEWS_SITE
triesteprima;NEWS_SITE
euronewsit;NEWS_SITE
magazeit;NEWS_SITE
torinotoday;NEWS_SITE
liberoreporter;NEWS_SITE
matteosalvinimi;POLITICS
italiaoggi;NEWS_SITE
metronewsitalia;NEWS_SITE
rivistastudio;NEWS_SITE
notizieit;NEWS_SITE
meteoweb_eu;NEWS_SITE
baritoday;NEWS_SITE
bolognatoday;NEWS_SITE
ilquotidianoweb;NEWS_SITE
italpress;NEWS_SITE
salernotoday;NEWS_SITE
mov5stelle;POLITICS
aleteiait;NEWS_SITE
vaticannews_it;NEWS_SITE
giornalecilento;NEWS_SITE
palermowebnews;NEWS_SITE
meteogiornaleit;NEWS_SITE
salernonotizie;NEWS_SITE
7per24;NEWS_SITE
lapresse_news;NEWS_SITE
normannomessina;NEWS_SITE
sanremonews;NEWS_SITE
radioitalia;NEWS_SITE
targatocn;NEWS_SITE
globalistit;NEWS_SITE
qsanit;NEWS_SITE
teleclubitalia;NEWS_SITE
ellyesse;POLITICS
gds_it;NEWS_SITE
modenatoday;NEWS_SITE
agenzia_nova;NEWS_SITE
robersperanza;POLITICS
mediasettgcom24;NEWS_SITE
ed_riza;NEWS_SITE
strill_it;NEWS_SITE
vicenza_today;NEWS_SITE
vocedeltrentino;NEWS_SITE
czinforma;NEWS_SITE
tp24it;NEWS_SITE
genovatoday;NEWS_SITE
serv_pubblico;NEWS_SITE
maurizio_lupi;POLITICS
oggimilazzo;NEWS_SITE
antoniodepoli;POLITICS
blogoit;NEWS_SITE
altarimini;NEWS_SITE
arezzonotizie;NEWS_SITE
chietitoday;NEWS_SITE
gparagone;POLITICS
messinaora;NEWS_SITE
argocatania;NEWS_SITE
corriere;NEWS_SITE
lecceprima;NEWS_SITE
anconatoday;NEWS_SITE
nicolaporro;NEWS_SITE
palermotoday;NEWS_SITE
latinatoday;NEWS_SITE
terrarealtime;NEWS_SITE
quoti_puglia;NEWS_SITE
grandangoloag;NEWS_SITE
giornalevicenza;NEWS_SITE
bresciaoggiit;NEWS_SITE
viterbonews24;NEWS_SITE
metropolis_web;NEWS_SITE
enricoletta;POLITICS
sole24ore;NEWS_SITE
dirdicronaca;NEWS_SITE
avantionline;NEWS_SITE
trevisotoday;NEWS_SITE
udinetoday;NEWS_SITE
ravennatoday;NEWS_SITE
cesenatoday;NEWS_SITE
riminitoday;NEWS_SITE
forlitoday;NEWS_SITE
monzatoday;NEWS_SITE
nfratoianni;POLITICS
padovaoggi;NEWS_SITE
cataniatoday;NEWS_SITE
perugiatoday;NEWS_SITE
pisatoday;NEWS_SITE
angelobonelli1;POLITICS
laprovinciadilc;NEWS_SITE
laprovinciadiso;NEWS_SITE
irpinia_news;NEWS_SITE
ilcrotonese;NEWS_SITE
veneziatoday;NEWS_SITE
icisraele;NEWS_SITE
primopianomolis;NEWS_SITE
oss_romano;NEWS_SITE
corriereromagna;NEWS_SITE
scenarieconomic;NEWS_SITE
sicilians_it;NEWS_SITE
brindisireport;NEWS_SITE
ilmanifesto;NEWS_SITE
ambientebio;NEWS_SITE
redaconradionov;NEWS_SITE
ilgranchio1992;NEWS_SITE
palermomaniait;NEWS_SITE
laprovinciacr;NEWS_SITE
lanuovadelsud;NEWS_SITE
corriereadriati;NEWS_SITE
resegoneonline;NEWS_SITE
ecplanet;NEWS_SITE
corrieredicomo;NEWS_SITE
lantidiplomatic;NEWS_SITE
quotidianilive;NEWS_SITE
iltelegrafo;NEWS_SITE
corriereumbria;NEWS_SITE
sardegnaoggi;NEWS_SITE
today_it;NEWS_SITE
pressenzaipa;NEWS_SITE
forli24ore;NEWS_SITE
serz31;NEWS_SITE
ntacalabria_it;NEWS_SITE
sudpress;NEWS_SITE
quot_molise;NEWS_SITE
pengueraffaele;NEWS_SITE
ildispaccio;NEWS_SITE
huffpostitalia;NEWS_SITE
ilcittadinolodi;NEWS_SITE
eunewsit;NEWS_SITE
gianfraschet;NEWS_SITE
strettoweb;NEWS_SITE
giornaledimonza;NEWS_SITE
ladiscussioneq;NEWS_SITE
cronachelucane;NEWS_SITE
cefalunews;NEWS_SITE
medbunker;NEWS_SITE
telestensetg;NEWS_SITE
quicosenza;NEWS_SITE
ilpopulista_it;NEWS_SITE
tgla7;NEWS_SITE
pagellapolitica;NEWS_SITE
sardiniapost;NEWS_SITE
si24it;NEWS_SITE
ilfarosulmondo;NEWS_SITE
ciaokarol;NEWS_SITE
urbanpost_it;NEWS_SITE
corrieredisiena;NEWS_SITE
corriereviterbo;NEWS_SITE
lasberla;NEWS_SITE
mitico_channel;NEWS_SITE
nordmilano24;NEWS_SITE
dinamopress;NEWS_SITE
ticino_live;NEWS_SITE
lanuovabq;NEWS_SITE
ilsannio;NEWS_SITE
giornalenisseno;NEWS_SITE
basilicatanot;NEWS_SITE
nexus_edizioni;NEWS_SITE
ilfogliettone;NEWS_SITE
parmaquotidiano;NEWS_SITE
gazzettaemilia;NEWS_SITE
sempionenews;NEWS_SITE
nuova_cosenza;NEWS_SITE
trapanioggi;NEWS_SITE
sicinform;NEWS_SITE
openyoureyes911;NEWS_SITE
universomamma;NEWS_SITE
secoloditalia1;NEWS_SITE
catenaumana;NEWS_SITE
ilmeridianonews;NEWS_SITE
ilquaderno;NEWS_SITE
vesuviolive;NEWS_SITE
economyup;NEWS_SITE
siracusaoggi;NEWS_SITE
jedasupport;NEWS_SITE
imolaoggi;NEWS_SITE
fidelity_news;NEWS_SITE
ministerosalute;NEWS_SITE
corrieredirieti;NEWS_SITE
ag_notizie;NEWS_SITE
ilprimaton;NEWS_SITE
attivotv;NEWS_SITE
noidiminerva;NEWS_SITE
sapereeundovere;NEWS_SITE
ragusaoggi;NEWS_SITE
latinaqtw;NEWS_SITE
insideoverita;NEWS_SITE
secolotrentino;NEWS_SITE
guardachevideo;NEWS_SITE
qui_finanza;NEWS_SITE
nuovosud;NEWS_SITE
aostacronaca;NEWS_SITE
giovannitoti;POLITICS
siracusalive;NEWS_SITE
butacit;NEWS_SITE
pandoratv_it;NEWS_SITE
dilei_it;NEWS_SITE
immediatonet;NEWS_SITE
carlocalenda;POLITICS
istsupsan;NEWS_SITE
lasiciliait;NEWS_SITE
marsalanews;NEWS_SITE
nextquotidiano;NEWS_SITE
the_socialpost;NEWS_SITE
vocedimantova;NEWS_SITE
vvoxonline;NEWS_SITE
breaknotizie;NEWS_SITE
corrcalabria;NEWS_SITE
lanotiziatweet;NEWS_SITE
giornalelora;NEWS_SITE
lirresponsabile;NEWS_SITE
quotidiano_roma;NEWS_SITE
luigibrugnaro;POLITICS
agenpress;NEWS_SITE
genovaquotidian;NEWS_SITE
reggiosera;NEWS_SITE
agr_web;NEWS_SITE
blastingnews;NEWS_SITE
articolounomdp;POLITICS
parmareport;NEWS_SITE
maurizioblondet;NEWS_SITE
la_prealpina;NEWS_SITE
ilsicilia;NEWS_SITE
picchionews;NEWS_SITE
contro_informa;NEWS_SITE
nordesteconomia;NEWS_SITE
italianotizie24;NEWS_SITE
emiliaromagnago;NEWS_SITE
ninconews;NEWS_SITE
micittastato;NEWS_SITE
cronachecampane;NEWS_SITE
ecodiparma;NEWS_SITE
iovaccino;NEWS_SITE
ildubbionews;NEWS_SITE
fabio_carisio;NEWS_SITE
robertoburioni;NEWS_SITE
vocedinapoliweb;NEWS_SITE
lecce_cronaca;NEWS_SITE
patriotail;NEWS_SITE
ildolomiti;NEWS_SITE
cdonchisciotte;NEWS_SITE
udcita;POLITICS
silenziefalsita;NEWS_SITE
corvelva;NEWS_SITE
thevisioncom;NEWS_SITE
messina_oggi;NEWS_SITE
laveritaweb;NEWS_SITE
berlusconi;POLITICS
piu_europa;POLITICS
potere_alpopolo;POLITICS
cronachedi;NEWS_SITE
atlanticomag;NEWS_SITE
rn_inchieste;NEWS_SITE
dottoremaevero;NEWS_SITE
notizieora;NEWS_SITE
nestquotidiano;NEWS_SITE
vocedelpatriota;NEWS_SITE
giuseppeconteit;POLITICS
azione_it;POLITICS
ternitoday;NEWS_SITE
fascinazionetw;NEWS_SITE
italiaviva;POLITICS
cisiamoinfo;NEWS_SITE
open_gol;NEWS_SITE
livornotoday;NEWS_SITE
todayavellino;NEWS_SITE
europaverde_it;POLITICS
blastingitalia;NEWS_SITE
arezzoweb;NEWS_SITE
lettoquotidiano;NEWS_SITE
lonesto4;NEWS_SITE
controtv;NEWS_SITE
rassegnastamp10;NEWS_SITE
epochitalia;NEWS_SITE
factanews;NEWS_SITE
databaseitalia;NEWS_SITE
domanigiornale;NEWS_SITE
orazeroo;NEWS_SITE
nanopress_it;NEWS_SITE
news_bz;NEWS_SITE
grandenapolina;NEWS_SITE
ultimnews;NEWS_SITE
inews__24;NEWS_SITE
tempisono;NEWS_SITE
coraggio_italia;POLITICS
24oreradiocor;NEWS_SITE
e_avversi;NEWS_SITE
tankerenemytv;NEWS_SITE
manifesta_it;POLITICS
italiaalcentro_;POLITICS
unione_popolare;POLITICS
fratelliditalia;POLITICS